index(611),angle,range,intensity
437,257.13,241.0,0.0
438,257.70,240.0,0.0
439,258.25,240.0,0.0
440,258.83,239.0,0.0
441,259.41,238.0,0.0
442,259.97,238.0,0.0
443,260.55,237.0,0.0
444,261.09,237.0,0.0
445,261.69,236.0,0.0
446,262.23,236.0,0.0
447,262.81,235.0,0.0
448,263.36,235.0,0.0
449,263.95,234.0,0.0
450,264.50,234.0,0.0
451,265.06,234.0,0.0
452,265.63,234.0,0.0
453,266.19,233.0,0.0
454,266.75,233.0,0.0
455,267.30,233.0,0.0
456,267.88,232.0,0.0
457,268.42,232.0,0.0
458,268.98,232.0,0.0
459,269.55,232.0,0.0
460,270.09,232.0,0.0
461,270.66,232.0,0.0
462,271.20,232.0,0.0
463,271.80,231.0,0.0
464,272.34,231.0,0.0
465,272.88,232.0,0.0
466,273.44,232.0,0.0
467,274.09,232.0,0.0
468,274.64,232.0,0.0
469,275.20,232.0,0.0
470,275.77,232.0,0.0
471,276.31,232.0,0.0
472,276.88,232.0,0.0
473,277.42,233.0,0.0
474,277.97,233.0,0.0
475,278.53,233.0,0.0
476,279.09,233.0,0.0
477,279.64,233.0,0.0
478,280.20,233.0,0.0
479,280.75,234.0,0.0
480,281.30,234.0,0.0
481,281.83,235.0,0.0
482,282.39,235.0,0.0
483,282.94,235.0,0.0
484,283.48,236.0,0.0
485,284.05,236.0,0.0
486,284.56,237.0,0.0
487,285.13,237.0,0.0
488,285.67,238.0,0.0
489,286.22,238.0,0.0
490,286.75,239.0,0.0
491,287.30,240.0,0.0
492,287.84,240.0,0.0
493,288.39,241.0,0.0
494,288.92,242.0,0.0
495,289.47,242.0,0.0
496,290.02,243.0,0.0
497,290.56,244.0,0.0
498,291.11,244.0,0.0
499,291.64,245.0,0.0
500,292.19,246.0,0.0
501,292.72,247.0,0.0
502,293.25,248.0,0.0
503,293.80,249.0,0.0
504,294.33,250.0,0.0
505,294.86,251.0,0.0
506,295.41,252.0,0.0
507,295.97,253.0,0.0
508,296.50,254.0,0.0
509,297.03,255.0,0.0
510,297.55,257.0,0.0
511,298.11,257.0,0.0
512,298.63,259.0,0.0
513,299.14,261.0,0.0
514,299.69,262.0,0.0
515,300.22,263.0,0.0
516,300.77,264.0,0.0
517,301.30,265.0,0.0
518,301.81,267.0,0.0
519,302.36,268.0,0.0
520,302.88,270.0,0.0
521,303.42,271.0,0.0
522,303.94,273.0,0.0
523,304.47,275.0,0.0
524,305.02,276.0,0.0
525,305.53,278.0,0.0
526,306.06,280.0,0.0
527,306.58,282.0,0.0
528,307.13,283.0,0.0
529,307.64,285.0,0.0
530,308.17,287.0,0.0
531,308.70,289.0,0.0
532,309.22,291.0,0.0
533,309.73,294.0,0.0
534,310.23,297.0,0.0
535,310.77,300.0,100000.0
536,311.41,337.0,100000.0
537,311.95,339.0,0.0
538,312.55,335.0,0.0
539,313.16,331.0,0.0
540,313.77,327.0,0.0
541,314.39,320.0,0.0
542,315.00,316.0,100000.0
543,317.44,265.0,100000.0
544,318.00,262.0,0.0
